"region","industry","costs","revenue"
111,3,115096,147652
111,5,75443,82920
111,2,378857,442726
111,1,433590,649628
111,2,347417,407836
111,5,327745,472569
111,2,714462,576372
111,3,221258,241864
111,3,241868,339215
111,3,194837,356625
111,3,187146,289607
111,3,365452,478424
111,3,453006,464383
111,2,442704,365578
111,4,136852,305651
111,3,158432,256581
111,3,235718,406342
111,3,135408,155872
111,3,185645,191029
111,3,270402,182845
111,2,110547,161888
111,2,91827,127645
111,2,193119,259787
111,2,486865,373151
111,3,177278,260096
111,3,28708,26077
111,2,36876,84451
111,3,277598,168311
111,3,215500,228361
111,5,213316,222456
121,2,227580,187461
121,1,138427,285585
121,1,136084,165280
121,5,34678,40002
121,1,199011,280723
121,2,183590,213262
121,3,304617,338030
121,5,88887,48870
121,4,37777,73193
121,2,360685,486292
121,2,55063,59856
121,2,109985,161348
121,5,43313,244040
121,5,31989,35984
121,3,95589,83857
121,1,201671,285006
121,2,155624,191336
121,2,288309,367107
121,4,73397,150050
121,3,87424,123036
121,3,62264,46980
121,4,406377,669409
121,4,13973,6032
121,3,167854,118725
121,2,264973,172193
121,4,715972,1114070
121,1,105499,110380
121,1,176544,263968
121,1,251537,285530
121,1,158410,411888
121,2,286483,614347
121,3,267050,435066
121,2,1099540,1153858
121,5,46186,93842
121,5,429411,732509
121,4,24633,49839
121,4,188078,225613
121,4,207816,336710
121,5,170403,194268
121,2,71720,113251
121,2,270658,348897
121,2,429988,400358
121,3,303130,255008
121,5,573126,428001
121,4,250996,238104
121,2,148946,200062
121,2,454789,504985
121,1,208076,207964
121,2,535464,694311
121,4,250009,308696
121,3,27914,57237
121,4,195551,261059
121,5,202721,191955
121,1,988152,1112515
121,3,427839,408598
121,3,273075,226610
121,4,16695291,17008403
121,1,260391,294974
121,1,111626,176249
121,4,92571,53584
121,2,799487,720357
121,2,207557,171984
121,5,297721,94947
121,4,27273,45983
121,1,349009,591609
121,1,2467650,2226177
121,1,745437,801759
121,1,640622,1157544
121,2,71418,86589
121,2,71463,123676
121,2,94977,162347
121,2,97354,195351
121,5,206512,229837
121,2,1212066,1050519
121,2,901201,1171901
121,2,570938,762764
121,3,306979,369750
121,3,225548,227984
121,5,98945,153920
121,5,236742,292351
121,3,61472,54072
121,3,147417,143907
121,3,144606,213242
121,3,76212,102628
121,3,168965,213715
121,3,168756,189839
121,3,268436,159591
121,3,594605,557720
121,2,269456,312060
121,3,159689,211940
121,4,57392,118622
121,4,24701,28602
121,4,83322,112680
121,4,154334,191045
121,4,208126,283032
122,2,116745,120074
122,2,430600,719308
122,3,105942,185477
122,2,142977,217653
122,2,217543,268887
122,3,154829,114769
122,5,728970,526563
122,5,16471,23001
122,3,38280,39432
122,2,242950,345500
122,2,109882,144198
122,5,54572,107066
122,3,72378,122672
122,2,62673,103417
122,5,18876,24108
122,5,52462,48026
122,5,62368,107993
122,2,199568,264283
122,2,246557,285914
122,3,124987,150758
122,5,207684,331411
122,5,311477,606197
122,2,137679,268538
122,2,146271,220013
122,5,204078,177668
122,3,18857,25147
122,2,43054,45570
122,1,107187,147167
122,2,110218,157682
122,2,270866,172303
122,2,128132,148792
122,4,116786,144956
122,5,187390,200787
122,1,520825,688418
